build,gtf,n_reps,depth,method,sensitivity,precision,f1,spearmans,alu_sensitivity,alu_precision,erv_sensitivity,erv_precision,hat_sensitivity,hat_precision,line_sensitivity,line_precision,mir_sensitivity,mir_precision,other_sensitivity,other_precision,mins,mem,n_cpu,cpu
chm13,explorate,1,2,lions,0.50553287140463,0.684802475802767,0.581668288268103,0.655924217236891,0.52212112067965,0.8292228857922288,0.5001650645693757,0.7566170206515672,0.5616316279823389,0.582636466781527,0.4649978023734367,0.6721245199110573,0.5431331269349845,0.562426263144396,0.5237666623805237,0.6216614946329552,16.0,11.440000000000001,36.0,34.0
chm13,explorate,1,2,squire,0.961584990945932,0.995940892019152,0.978461456851145,0.927169003364577,0.9594368747243565,0.9981405682133758,0.9658219244586853,0.9987148336311974,0.9790172965528415,0.9915080406957664,0.9695129260398769,0.9960897810893192,0.9722848297213622,0.9946033595986724,0.8958038661008958,0.9881796690307328,7.0,44.265,36.0,12.5
chm13,explorate,1,2,te-saem,0.976772213133229,0.999808527134216,0.9881561302942,0.95192622040594,0.9719481906176737,0.9998806041430363,0.9835323817846393,0.9992305567612358,0.987969376594969,0.999754058042302,0.9852359451792064,0.9998682116318441,0.9920495356037151,1.0,0.9093909390939094,1.0,3.0,53.22,36.0,3.0
chm13,explorate,1,2,telescope,0.00189667782389569,0.285351787773933,0.00376830843467453,-0.00827506492315567,0.0,0,0.01213710068938732,0.9811616954474097,0.0,0,0.0,0,0.0,0,0.0,0.0,2.0,7.700776367187501,72.0,35.5
chm13,explorate,1,2,telocal,0.895633654455046,0.978366681071013,0.935173926442983,0.82456831953834,0.9413662635500568,0.9998274246832011,0.9016409360132052,0.9995694294940797,0.8807874589865111,0.9998160750413831,0.8913073880209373,0.9997871053044394,0.8898823529411765,1.0,0.7632334662037632,0.7266383742756876,12.0,69.445,72.0,12.0
chm13,explorate,1,2,tetools,0.630426882839896,0.999652324442078,0.773223406576047,0.455166706655522,0.7976834335321835,0.9997090909090909,0.731080687445383,0.9995221027479092,0.46332077611698463,0.999912579770959,0.6128381348144004,0.9994461097354359,0.38840866873065016,1.0,0.48326261197548326,0.9998226478673407,1.0,9.31,36.0,2.5
chm13,explorate,1,2,texp,0.739304163031495,0.832133605551596,0.782977030439337,0.578397296620192,0.8696060908521158,0.999879897512544,0.6058646470531119,0.9995834935281303,0.818852027382833,1.0,0.6071143165381389,1.0,0.9138328173374612,1.0,0.7318589001757319,0.2596247415156307,2.0,7.21,36.0,14.0
chm13,explorate,1,5,ervmap,0.000415747145349473,0.140731292517007,0.00082904513286638,0.000194700996653775,0.0,0,0.0024512442548962777,0.5595463137996219,0.0,0,0.0,0,0.0,0,0.0,0.0,1.0,7.895,36.0,4.5
chm13,explorate,1,5,explorate,0.95494042004278,0.99933752767695,0.976634669145027,0.927225544811243,0.9337238051801532,0.998767524264366,0.974700840544905,1.0,0.9662737702341663,1.0,0.9697615611198722,0.9989710100306266,0.9782790725492932,0.9997962489430414,0.869985851401476,0.9994947830862163,30.5,47.64,36.0,158.0
chm13,explorate,1,5,lions,0.709657140488622,0.677289754916357,0.693095766461682,0.814247472701577,0.7307568592621042,0.8154034884717579,0.6597822036354603,0.7410108074926989,0.7784849913562785,0.579343173259105,0.6608174485506078,0.6610150155584317,0.8034051715544568,0.5602741725813516,0.7247141600703606,0.6216318163181632,28.0,11.754999999999999,36.0,71.5
chm13,explorate,1,5,squire,0.958094320592546,0.995455292870976,0.976417548784492,0.922136248001353,0.9468638229434216,0.9986935716636707,0.9630988364871019,0.993898113884782,0.9666038032374666,0.9908973739326566,0.9674963327683371,0.9962379982425094,0.9797045395641859,0.9951297550702186,0.9035983327597416,0.9903396827392552,8.0,64.59,36.0,14.0
chm13,explorate,1,5,te-saem,0.972737789154652,0.999684392533076,0.986027022889149,0.948504168078122,0.9644254542835882,0.9997611144013179,0.9804480145749659,0.9999155433938043,0.9803708942322804,1.0,0.9806983667546277,0.9999679203140601,0.9860045056719632,0.9999797808241336,0.9099843218232573,0.9999789893896418,5.0,59.41,36.0,5.5
chm13,explorate,1,5,telescope,0.00190540308004577,0.355352541578824,0.00379048156856474,-0.00216013796778963,0.0,0,0.012537783114570825,0.9831168831168832,0.0,0,0.0,0,0.0,0,0.0,0.0,3.5,6.2943212890625,72.0,82.5
chm13,explorate,1,5,telocal,0.89771552595782,0.980513137803923,0.937289355864988,0.837160668307038,0.9394800643318371,0.9997598806555769,0.9041447559107283,0.9996520720027834,0.873031588873173,1.0,0.8932275178052455,0.9998019139514205,0.8951235072469547,0.9998997839787988,0.7782493977285764,0.7425433715818086,11.5,57.585,72.0,12.0
chm13,explorate,1,5,tetools,0.612931243460775,0.999674279445701,0.759927447168917,0.438658924872391,0.781579010537939,0.999496564976885,0.697378990517991,0.9998575227963525,0.42421813609932424,1.0,0.6042299993314431,0.9995511085666702,0.3742797902669511,0.9998934782029772,0.47736224236166874,0.9989996798975672,1.0,8.96,36.0,4.0
chm13,explorate,1,5,texp,0.735003899984551,0.831843933976003,0.780431286815368,0.576965415679863,0.862819558798819,0.9999332342975413,0.6067657653927374,0.9999863520355939,0.8175703284614175,1.0,0.6019333094750254,0.9999216050068269,0.9211208357423394,1.0,0.7209093342510803,0.2403781788508004,4.5,5.915,36.0,35.0
chm13,explorate,1,10,ervmap,0.000403446887944449,0.110006913238852,0.000803945331717443,-0.0104288826006101,0.0,0,0.0026917055282524426,0.5236156351791531,0.0,0,0.0,0,0.0,0,0.0,0.0,1.0,8.440000000000001,36.0,8.5
chm13,explorate,1,10,explorate,0.954587980261844,0.999664789376545,0.976606513809791,0.922565087497847,0.9395714340293033,0.9989743303316416,0.972321062281796,0.9998579441505275,0.974146912732706,1.0,0.965838917896641,0.9999212563234364,0.9793072670022066,0.9999392417368762,0.8513450771541717,0.9998930778607018,30.0,46.57,36.0,145.5
chm13,explorate,1,10,lions,0.791700023135603,0.678672658478413,0.730842141094549,0.764216216012629,0.816197539590059,0.8298885848651195,0.7435888848887735,0.7498765192355591,0.8626014618584178,0.5787525739677035,0.7232619331496937,0.6588467494723991,0.9000471078273374,0.5592829168939135,0.8115162274113523,0.6104210036156459,44.0,11.915,36.0,130.5
chm13,explorate,1,10,squire,0.95721593123972,0.996388630470497,0.976409545192247,0.920591906578426,0.9527927945137443,0.9992562337379388,0.9615207508309542,0.9983005984848814,0.9735815531236118,0.992973467219124,0.9608703696090121,0.9960535035810406,0.9794758634368879,0.994917772684917,0.8792935500022759,0.9918565604493782,10.0,64.755,36.0,17.0
chm13,explorate,1,10,te-saem,0.971665858505186,0.999378710501585,0.985327463397397,0.946444623800268,0.9690275840990277,0.9996009685134599,0.9784328664361484,0.9997005988023953,0.9799297338771554,1.0,0.9787505653085556,0.9987665482860685,0.9867651798775197,0.999718666479111,0.8895989803814466,0.9999488349723197,10.0,47.435,36.0,11.0
chm13,explorate,1,10,telescope,0.00297625272952578,0.452338519339146,0.00591359576029629,-0.00338793132696847,0.0,0,0.020629432104553713,0.9580093312597201,0.0,0,0.0,0,0.0,0,0.0,0.0,6.5,10.161972656249999,72.0,152.5
chm13,explorate,1,10,telocal,0.897168265558693,0.980305203037555,0.936896029092705,0.828293779956733,0.9444616898126039,0.99990393633507,0.9098090270510126,0.9992505747126437,0.887549973751161,0.9998271328620429,0.8895983225753402,0.998359729159217,0.8894999132224233,1.0,0.7493650143383859,0.7487787794161792,13.0,52.93,72.0,14.0
chm13,explorate,1,10,tetools,0.621712605100608,0.999407496921582,0.766561635616174,0.445951436554658,0.7978948977057824,0.9997726103139174,0.7130089332808667,0.999407367420464,0.43036788757420347,0.9999624680978833,0.6056510298894051,0.9989590820934995,0.40529095281779187,0.9997798192071045,0.43994719832491236,0.9988838362959901,2.0,11.57,36.0,6.5
chm13,explorate,1,10,texp,0.748995502819057,0.840762883260433,0.792230598074997,0.585994008450976,0.8702983820130279,0.9998765496448745,0.6197578720874741,0.9999324593574184,0.7983443040019383,1.0,0.6228898573366772,0.9991130308625692,0.9331614310862073,1.0,0.7104192270927215,0.25774190138984304,8.0,6.525,36.0,60.0
